category_large,category_medium,category_small,recommendation_fit,physical_activity,mental_activity,gender_work,price,obstacle,collective,time_consuming,weather_affected,health,growth,creativity,period,generation,season,feeling,classification
여가,운동,하키 하기,0,4,2,0,2,4,2,3,0,2,2,1,1,4,4,4,3
여가,운동,골프 치기,1,3,2,0,4,3,2,3,1,2,2,1,1,4,0,4,3
여가,운동,당구 치기,1,3,2,0,2,2,2,2,0,2,2,1,1,4,0,1,3
여가,운동,포켓볼 치기,1,3,2,0,2,2,2,2,0,2,2,1,1,4,0,1,3
여가,운동,볼링 치기,1,3,2,0,2,2,2,2,0,2,2,1,1,4,0,4,3
여가,운동,족구 하기,1,4,2,0,1,2,2,3,1,2,2,1,1,4,0,4,3
여가,운동,테니스 하기,0,4,2,0,3,3,2,2,1,2,2,1,1,4,0,4,3
여가,운동,배드민턴 하기,1,4,2,0,1,2,2,2,0,2,2,1,1,4,0,4,3
여가,운동,탁구 치기,1,4,2,0,1,2,2,2,0,2,2,1,1,4,0,4,3
여가,운동,스쿼시 하기,0,4,2,0,2,3,2,3,1,2,2,1,1,4,0,4,3
여가,운동,피구 하기,1,4,2,0,1,2,2,2,1,2,2,1,1,4,0,4,3
여가,운동,컬링 하기,0,4,2,0,2,4,2,2,0,2,2,1,1,4,0,4,3
여가,운동,체조 하기,1,3,1,0,0,1,0,2,0,2,2,1,2,4,0,4,3
여가,운동,홈트레이닝 하기,1,4,1,0,0,1,0,2,0,2,2,1,3,4,0,4,3
여가,운동,헬스 하기,1,4,1,0,2,2,0,2,0,2,2,0,3,4,0,4,3
여가,운동,태권도 하기,0,4,2,0,1,2,0,2,0,2,2,1,2,4,0,4,3
여가,운동,유도 하기,0,4,2,0,1,3,0,2,0,2,2,1,2,4,0,4,3
여가,운동,검도 하기,0,4,2,0,1,3,0,2,0,2,2,1,2,4,0,4,3
여가,운동,복싱 하기,1,4,2,0,1,2,2,2,0,2,2,1,2,4,0,4,3
여가,운동,줄넘기 하기,1,4,2,0,1,1,0,2,1,2,2,1,2,4,0,4,3
여가,운동,주짓수 하기,0,4,2,0,1,2,2,2,0,2,2,1,1,4,0,4,3
여가,운동,레슬링 하기,0,4,2,0,1,2,2,2,0,2,2,1,1,4,0,4,3
여가,운동,활 쏘기,0,3,2,0,4,4,0,2,1,2,2,1,1,4,0,4,3
여가,운동,씨름 하기,0,4,2,0,1,2,2,2,1,2,2,1,1,4,0,4,3
여가,운동,러닝 하기,1,4,1,0,0,1,0,2,1,2,2,0,2,4,0,4,3
여가,운동,조깅 하기,1,4,1,0,0,1,0,2,1,2,2,0,2,4,0,4,3
여가,운동,걷기,1,3,1,0,0,0,0,2,1,2,2,0,3,0,0,0,3
여가,운동,마라톤 하기,0,4,1,0,0,1,0,3,1,2,2,0,1,4,0,4,3
여가,운동,경보 뛰기,1,4,1,0,0,1,0,2,1,2,2,0,2,4,0,4,3
여가,운동,철봉 운동 하기,1,4,1,0,0,1,0,2,1,2,2,0,2,4,0,4,3
여가,운동,턱걸이 하기,1,4,1,0,0,1,0,2,1,2,2,0,2,4,0,4,3
여가,운동,팔굽혀펴기 하기,1,4,1,0,0,0,0,2,0,2,2,0,3,4,0,4,3
여가,운동,윗몸일으키기 하기,1,4,1,0,0,0,0,2,0,2,2,0,3,4,0,4,3
여가,운동,수영 하기,1,4,2,0,2,2,0,3,1,2,2,1,1,4,0,4,3
여가,운동,서핑 하기,0,4,2,0,4,4,0,3,1,2,2,1,1,4,0,4,3
여가,운동,스키 타기,1,4,2,0,4,3,0,3,1,2,2,1,0,4,4,4,3
여가,운동,스케이트 타기,1,4,2,0,3,3,0,3,1,2,2,1,0,4,0,4,3
여가,운동,스노보드 타기,1,4,2,0,4,3,0,3,1,2,2,1,0,4,4,4,3
여가,운동,사격 하기,0,3,2,0,4,2,0,2,1,2,2,1,1,4,0,0,3
여가,운동,경마 하기,0,4,2,0,4,4,0,2,1,2,2,1,1,4,0,4,3
여가,운동,사이클 하기,0,4,2,0,4,3,0,3,1,2,2,1,1,4,0,4,3
여가,운동,자전거 타기,1,3,2,0,0,2,0,2,1,2,2,1,2,4,0,0,3
여가,운동,산책하기,1,3,1,0,0,0,0,2,1,2,2,0,2,0,0,1,3
여가,운동,필라테스,0,3,1,0,0,2,0,2,0,2,2,1,2,4,0,4,3
여가,운동,요가하기,0,3,1,0,0,2,0,2,0,2,2,1,2,4,0,4,3
여가,창작,사진 촬영,0,1,1,0,0,1,0,2,1,2,0,2,2,0,0,0,0
여가,창작,동영상 촬영,0,1,1,0,0,1,0,2,1,0,0,2,2,0,0,0,0
여가,창작,일기 쓰기,1,1,2,0,0,1,1,2,0,0,0,2,3,0,0,0,0
여가,창작,시 쓰기,1,1,3,0,0,2,1,2,0,0,0,2,0,0,0,0,0
여가,창작,작곡 하기,0,1,3,0,2,4,1,3,0,0,0,2,0,0,0,0,0
여가,창작,작사 하기,0,1,3,0,0,3,1,3,0,0,0,2,0,0,0,0,0
여가,창작,소설 쓰기,0,1,3,0,0,2,1,3,0,0,0,2,0,0,0,0,0
여가,창작,연극 하기,0,3,2,0,2,4,2,3,1,0,0,2,0,4,0,0,0
여가,창작,춤 추기,0,4,2,0,2,3,0,2,0,2,0,2,2,4,0,0,0
여가,창작,드로잉 하기,0,1,2,0,2,3,1,2,0,0,0,2,2,0,0,0,0
여가,창작,공예 활동,1,1,2,0,3,3,0,3,0,0,0,2,1,0,0,0,0
여가,창작,십자수 만들기,0,1,2,0,1,2,1,2,0,0,0,2,2,0,0,0,0
여가,창작,뜨개질 하기,0,1,2,0,1,2,1,2,0,0,0,2,2,0,0,0,0
여가,창작,노래 부르기,1,2,1,0,0,1,0,2,0,0,0,2,2,0,0,1,0
여가,창작,퍼즐 맞추기,0,0,3,0,2,1,0,2,0,0,0,2,1,5,0,0,0
여가,창작,도예 활동,0,2,2,0,3,3,0,3,0,0,0,2,1,0,0,0,0
여가,창작,컬러링북 색칠하기,0,1,2,0,2,1,0,2,0,0,0,2,1,5,0,0,0
소통,기타,부모님께 고마운 점 전해드리기,1,0,2,0,0,2,2,1,0,0,0,0,1,4,0,1,0
소통,대면,대화 나누기,0,0,2,0,0,0,2,2,0,0,0,1,4,0,0,1,0
소통,대면,고백하기,0,1,2,0,0,1,2,1,0,0,0,1,0,0,0,3,0
소통,대면,상담하기,0,0,3,0,0,2,2,2,0,0,0,1,0,0,0,0,0
소통,대면,친구와 수다 떨기,1,0,2,0,0,0,2,2,0,0,0,0,2,0,0,1,0
소통,대면,데이트 하기,0,2,1,0,3,1,2,4,1,0,0,1,2,0,0,1,0
소통,대면,가족과 식사하기,1,1,1,0,3,0,2,3,0,0,0,0,2,0,0,1,0
소통,대면,가족과 시간 보내기,1,1,1,0,0,0,2,3,0,0,0,0,2,0,0,1,0
소통,대면,가족사진 찍기,1,1,1,0,0,1,2,1,0,0,0,0,2,0,0,1,0
소통,대면,가족 족욕시켜주기,1,2,1,0,0,1,2,1,0,0,0,0,1,4,0,1,0
소통,대면,가족 어깨주물러주기,1,2,1,0,0,1,2,1,0,0,0,0,1,4,0,1,0
소통,대면,가장 친한 지인에게 고민 털어놓아보기,1,0,2,0,0,2,2,2,0,0,0,0,1,0,0,0,0
소통,메신저,문자 하기,0,0,2,0,0,0,2,1,0,0,0,0,4,0,0,0,0
소통,메신저,카카오톡 하기,0,0,2,0,0,0,2,1,0,0,0,0,4,0,0,0,0
소통,메신저,DM 하기,0,0,2,0,0,1,2,1,0,0,0,0,4,4,0,0,0
소통,메신저,페이스북 메시지 하기,0,0,2,0,0,1,2,1,0,0,0,0,4,4,0,0,0
소통,통화,전화 통화 하기,0,1,2,0,0,0,2,2,0,0,0,0,4,0,0,0,0
소통,통화,영상 통화 하기,0,1,2,0,0,1,2,2,0,0,0,0,1,0,0,0,0
소통,통화,부모님께 안부 인사드리기,1,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0
성장,시험,시험(앉아서 보는),0,0,4,0,0,2,1,3,0,0,2,2,0,4,0,4,6
성장,시험,자격증 시험(앉아서 보는),0,0,4,0,3,2,1,3,0,0,2,2,0,4,0,4,6
성장,시험,시험(움직이면서 보는),0,3,4,0,0,2,1,3,0,0,2,2,0,4,0,4,6
성장,시험,자격증 시험(움직이면서 보는),0,3,4,0,3,2,1,3,0,0,2,2,0,4,0,4,6
성장,시험,면접 보기,0,1,3,0,0,3,2,3,0,0,2,2,0,4,0,4,6
성장,시험,코딩테스트 보기,0,0,4,0,0,3,1,3,0,0,2,2,0,4,0,4,6
성장,학습,새로운 것 공부해보기,1,0,4,0,2,3,1,3,0,0,2,2,0,6,0,0,0
성장,학습,공부하기,1,0,4,0,0,1,1,3,0,0,2,2,3,4,0,0,0
성장,학습,강의 듣기,0,0,4,0,2,1,1,3,0,0,2,2,2,4,0,0,0
성장,학습,단어 외우기,0,0,3,0,0,1,1,1,0,0,2,1,3,4,0,0,0
성장,학습,숙제하기,0,1,3,0,0,1,0,3,0,0,2,2,2,5,0,0,0
성장,학습,과제하기,0,1,3,0,0,1,0,3,0,0,2,2,2,6,0,0,0
성장,학습,알고리즘 문제 풀기,0,1,4,0,0,2,1,3,0,0,2,2,2,4,0,0,0
성장,학습,스터디 모임,0,1,4,0,0,2,2,2,0,0,2,2,2,4,0,0,0
성장,학습,최근 사회 이슈 찾아보기,1,0,2,0,0,1,1,2,0,0,2,1,1,0,0,0,0
성장,학습,최근 정치 이슈 찾아보기,1,0,2,0,0,1,1,2,0,0,2,1,1,0,0,0,0
일상,개인업무,차량 청소,0,2,1,0,0,2,0,2,1,0,0,1,0,1,0,0,0
일상,건강,물 많이 마시기,1,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0
일상,건강,탄산음료 안마시기,1,0,0,0,0,1,1,0,0,2,0,0,4,0,0,0,0
일상,건강,커피 안마시기,1,0,0,0,0,1,1,0,0,2,0,0,4,0,0,0,0
일상,건강,일찍 자기,1,0,0,0,0,1,1,0,0,2,0,0,3,0,0,0,0
일상,건강,영양제 챙겨먹기,1,0,0,0,2,1,1,0,0,2,0,0,3,0,0,0,0
일상,건강,스트레칭하기,1,2,1,0,0,0,0,1,0,2,0,0,3,0,0,1,0
일상,건강,건강검진 받기,1,1,1,0,2,2,0,3,0,2,0,0,0,1,0,0,0
일상,건강,치료 받기,0,1,1,0,2,1,0,2,0,2,0,0,1,0,0,0,0
일상,건강,건강식 먹기,1,0,0,0,2,1,0,2,0,2,0,0,2,0,0,0,0
일상,건강,"간식, 야식 없는 하루 보내기",1,0,0,0,0,1,1,0,0,2,0,0,3,0,0,0,0
일상,다이어트,식단 관리,0,0,0,0,0,2,0,0,0,2,0,0,3,4,0,0,0
일상,다이어트,유산소 운동,1,4,1,0,0,1,0,2,1,2,0,0,2,4,0,0,3
일상,다이어트,러닝머신 타기,1,4,1,0,0,1,0,2,0,2,0,0,2,4,0,0,3
일상,식사,중식 먹기,1,0,0,0,2,1,0,2,0,0,0,0,3,0,0,1,1
일상,식사,한식 먹기,1,0,0,0,2,0,0,2,0,0,0,0,3,0,0,1,1
일상,식사,양식 먹기,1,0,0,0,2,1,0,2,0,0,0,0,3,0,0,1,1
일상,식사,일식 먹기,1,0,0,0,2,1,0,2,0,0,0,0,3,0,0,1,1
일상,식사,해외의 특이한 음식 먹어보기,1,0,0,0,2,3,0,2,0,0,0,0,0,0,0,1,1
일상,식사,안먹어본 음식 먹어보기,1,0,0,0,2,3,0,2,0,0,0,0,0,0,0,1,1
일상,일상,샤워 하기,0,1,0,0,0,0,1,2,0,2,0,0,4,0,0,0,0
일상,일상,세수 하기,0,1,0,0,0,0,1,1,0,2,0,0,4,0,0,0,0
일상,일상,머리 감기,0,1,0,0,0,0,1,1,0,2,0,0,4,0,0,0,0
일상,일상,양치 하기,0,1,0,0,0,0,1,1,0,2,0,0,4,0,0,0,0
일상,일상,집밥 먹기,1,0,0,0,0,1,0,2,0,2,0,0,4,0,0,0,1
일상,일상,간식 먹기,0,0,0,0,1,0,0,2,0,1,0,0,3,0,0,0,0
일상,일상,외식 하기,1,2,1,0,2,1,0,2,1,0,0,0,3,0,0,0,1
일상,일상,산책 하기,1,2,1,0,0,0,0,2,1,2,0,0,3,0,0,0,0
일상,일상,머리 자르기,0,1,1,0,2,0,0,2,1,0,0,1,1,0,0,0,0
일상,일상,미용실 가기,0,2,1,0,3,1,0,2,1,0,0,0,1,0,0,0,0
일상,일상,파마 하기,0,1,1,0,3,2,1,3,1,0,0,1,0,4,0,0,0
일상,일상,헤어 스타일 바꿔보기,1,1,1,0,3,3,1,3,1,0,0,2,0,0,0,1,0
일상,일상,뉴스 시청하기,1,0,2,0,0,0,0,2,0,0,2,1,3,0,0,0,0
일상,일상,신문 읽기,1,0,2,0,0,1,1,2,0,0,0,1,3,0,0,0,0
일상,일상,반려동물 놀아주기,0,2,1,0,0,2,0,2,0,0,0,2,4,0,0,1,0
일상,일상,아기 놀아주기,0,2,1,0,0,2,0,2,0,0,0,2,4,0,0,0,0
일상,일상,반려동물 산책시키기,0,2,1,0,0,2,0,2,1,0,0,1,4,0,0,1,0
일상,일상,반려동물 밥 챙기기,0,1,1,0,0,2,0,2,0,0,0,1,4,0,0,0,0
일상,일상,머리 말리기,0,1,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0
일상,일상,주식 확인하기,0,0,1,0,0,3,1,1,0,0,0,1,3,1,0,0,0
일상,일상,눈썹 관리하기,1,1,1,0,0,2,1,2,0,0,0,1,2,0,0,0,0
일상,일상,화장 하기,0,1,1,0,0,1,1,2,0,0,0,0,3,0,0,0,0
일상,일상,피부 관리 하기,1,1,1,0,0,1,1,2,0,0,0,0,2,0,0,0,0
일상,일상,온라인 쇼핑,1,0,1,0,3,1,1,2,0,0,0,1,1,0,0,0,0
일상,일상,옷 신경써서 입기,1,1,1,0,0,2,1,1,0,0,0,2,1,0,0,0,0
일상,일상,외모 관리 신경 쓰기,1,1,1,0,2,2,1,2,0,0,0,2,1,0,0,0,0
일상,일상,맥주 한 잔 하기,1,0,0,0,2,1,0,2,0,0,0,0,2,1,0,1,0
일상,힐링,명상 하기,1,0,0,0,0,0,1,1,0,2,0,0,3,0,0,0,0
일상,힐링,낮잠 자기,1,0,0,0,0,0,1,2,0,0,0,0,2,0,0,1,0
일상,힐링,불멍 하기,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
일상,힐링,물멍 하기,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
일상,힐링,새로운 스트레스 해소 방법 찾기,1,1,2,0,0,2,0,2,0,2,0,2,0,0,0,0,0
일상,힐링,멍 때리기,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0
일상,힐링,푹 쉬기,1,0,0,0,0,0,1,2,0,0,0,0,2,0,0,1,0
일상,힐링,푹 누워있기,1,0,0,0,0,0,0,2,0,2,0,0,2,0,0,1,0
일상,일상,주식 매도,0,0,4,0,0,3,1,1,0,0,0,1,0,1,0,0,0
일상,일상,주식 매수,0,0,4,0,4,3,1,1,0,0,0,1,0,1,0,0,0
일상,일상,일찍 자기,1,0,0,0,0,1,1,0,0,2,0,0,3,0,0,0,0
일상,일상,올해 계획의 이행 여부 확인하기,1,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0
일상,일상,휴대폰 사용량 확인 및 줄이기,1,0,2,0,0,1,1,1,0,2,0,1,2,0,0,0,0
일상,일상,반신욕하기,1,0,0,0,0,0,1,2,0,2,0,0,1,0,0,1,0
일상,일상,족욕하기,1,1,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0
과업,개인업무,개인 업무 하기,0,2,2,0,0,2,1,2,0,0,0,2,2,0,0,0,0
과업,개인업무,은행 업무 보기,0,2,2,0,0,2,1,2,0,0,0,2,1,0,0,0,0
과업,개인업무,밀린 숙제 끝내기,0,1,2,0,0,2,1,3,0,0,2,2,2,5,0,0,0
과업,개인업무,밀린 과제 끝내기,0,1,2,0,0,2,1,3,0,0,2,2,2,6,0,0,0
과업,개인업무,밀린 일 확인해보기,1,1,2,0,0,2,1,1,0,0,0,1,2,0,0,0,0
과업,개인업무,밀린 일 끝내기,1,2,2,0,0,2,1,3,0,0,2,2,2,0,0,0,0
과업,개인업무,예비군 다녀오기,0,3,1,1,0,2,1,4,0,0,0,1,0,6,0,4,0
과업,개인업무,고정지출 확인 및 정리,1,0,3,0,2,2,1,1,0,0,0,2,1,0,0,0,0
과업,개인업무,마당/정원 관리,0,2,1,0,0,2,1,3,1,0,0,2,0,0,0,0,0
과업,개인업무,자동차 청소,0,2,1,0,0,2,1,2,0,0,0,1,0,1,1,0,0
과업,개인업무,일주일 계획 짜기,1,0,2,0,0,1,1,1,0,0,0,1,2,0,1,0,0
과업,개인업무,여행 계획해보기,1,0,2,0,0,1,1,2,0,0,0,1,0,0,0,1,0
과업,개인업무,자동차 주유하기,0,1,1,0,2,2,1,1,1,0,0,0,1,1,0,0,0
과업,개인업무,집 인테리어 꾸며보기,1,2,2,0,4,2,1,3,0,0,0,2,0,0,0,0,0
과업,개인업무,자동차 수리하기,0,2,2,0,4,3,1,3,1,0,0,1,0,1,0,0,0
과업,개인업무,고장난 기계 수리하기,0,2,2,0,3,3,1,3,0,0,0,1,0,1,0,0,0
과업,개인업무,투표 하기,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
과업,개인업무,식물 관리하기,0,1,2,0,2,2,1,1,0,0,0,1,1,0,0,0,0
과업,개인업무,프로젝트 수행하기,0,1,3,0,0,2,1,3,0,0,0,2,1,6,0,0,0
과업,개인업무,강연 하기,0,2,3,0,0,3,1,2,0,0,2,2,0,1,0,0,0
과업,개인업무,투자 분석,0,1,4,0,0,3,1,2,0,0,2,2,1,1,0,0,0
과업,개인업무,병원 가기,0,2,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0
과업,개인업무,재무 계획 작성,0,0,3,0,0,3,1,2,0,0,0,2,0,1,0,0,0
과업,개인업무,To Do List 작성,1,0,2,0,0,2,1,1,0,0,0,2,3,0,0,0,0
과업,개인업무,주식시장 분석하기,0,0,4,0,0,4,1,2,0,0,2,2,1,1,0,0,0
과업,개인업무,기차표 예매하기,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
과업,개인업무,버스표 예매하기,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
과업,개인업무,등교 일찍하기,0,1,1,0,2,1,1,0,0,0,0,0,3,5,0,0,0
과업,개인업무,회의 하기,0,1,3,0,0,1,2,2,0,0,2,2,2,1,0,0,0
과업,직장업무,업무 감독,0,1,3,0,0,3,0,3,0,0,2,2,2,1,0,0,0
과업,직장업무,업무 컨설팅,0,1,3,0,0,3,0,3,0,0,2,2,2,1,0,0,0
과업,직장업무,보고서 작성,0,1,3,0,0,3,0,3,0,0,2,2,2,1,0,0,0
과업,직장업무,프로젝트,0,1,3,0,0,3,0,3,0,0,2,2,2,1,0,0,0
과업,직장업무,출근 일찍하기,1,1,1,0,2,1,1,0,0,0,0,0,3,1,0,0,0
과업,직장업무,업무 미팅하기,0,1,3,0,0,1,2,2,0,0,2,2,2,1,0,0,0
